[00:00:00.000 --> 00:00:01.360]  和我母亲死之前
[00:00:01.360 --> 00:00:02.360]  我曾做的那个
[00:00:02.360 --> 00:00:03.960]  那个梦差不多
[00:00:03.960 --> 00:00:05.480]  怎么
[00:00:05.480 --> 00:00:10.960]  我这次梦见的是你
[00:00:10.960 --> 00:00:14.920]  告诉我
[00:00:14.920 --> 00:00:19.520]  只是个梦而已
[00:00:31.000 --> 00:00:32.600]  你以为南禅死了
[00:00:32.600 --> 00:00:34.920]  那孩子呢
[00:00:34.920 --> 00:00:37.440]  我不知道
[00:00:37.440 --> 00:00:41.600]  这不过是个梦
[00:00:41.600 --> 00:00:42.400]  怕的没
[00:00:42.400 --> 00:00:43.960]  我不会让这个梦成真的
[00:00:43.960 --> 00:00:47.200]  这孩子会改变我们的命运
[00:00:47.200 --> 00:00:49.560]  女王应该不会让我
[00:00:49.560 --> 00:00:51.200]  继续在议会工作了
[00:00:51.200 --> 00:00:53.000]  如果长老会发现
[00:00:53.000 --> 00:00:54.000]  你是孩子的父亲
[00:00:54.000 --> 00:00:54.880]  你会被开除
[00:00:54.880 --> 00:00:56.160]  你以后就会把这个孩子
[00:00:56.160 --> 00:00:57.600]  把这个孩子给带回来
[00:00:57.600 --> 00:00:58.920]  如果长老会发现
[00:00:58.920 --> 00:00:59.800]  你是孩子的父亲
[00:00:59.800 --> 00:01:00.600]  你会被开除
[00:01:00.600 --> 00:01:01.280]  我知道 我知道
[00:01:01.280 --> 00:01:03.880]  你认为
[00:01:03.880 --> 00:01:06.040]  欧比王会帮助我们吗
[00:01:06.040 --> 00:01:09.600]  我不需要他的帮助
[00:01:09.600 --> 00:01:12.960]  这个孩子
[00:01:12.960 --> 00:01:14.640]  是上天的恩赐
[00:01:28.600 --> 00:01:30.080]  是前兆吗
[00:01:30.080 --> 00:01:31.840]  的确是前兆
[00:01:31.840 --> 00:01:35.000]  你在梦中看到的
[00:01:35.000 --> 00:01:37.640]  充满了痛苦
[00:01:37.640 --> 00:01:39.320]  折磨
[00:01:39.320 --> 00:01:42.480]  死亡
